occupation_entity_id,skill_entity_id,relation_type,source,weight
OCC_a0cecf937326,SKL_f20abbe40df9,essential,ESCO,
OCC_a0cecf937326,SKL_ab670ca70003,essential,ESCO,
OCC_a0cecf937326,SKL_ab0615922027,essential,ESCO,
OCC_a0cecf937326,SKL_d546743b9da1,essential,ESCO,
OCC_a0cecf937326,SKL_07a7e2a00de2,essential,ESCO,
OCC_a0cecf937326,SKL_54188f599eea,essential,ESCO,
OCC_a0cecf937326,SKL_c0d9b25a3929,essential,ESCO,
OCC_a0cecf937326,SKL_4a174ce373ac,essential,ESCO,
OCC_a0cecf937326,SKL_f18769bf13e8,essential,ESCO,
OCC_a0cecf937326,SKL_6a468ac789e8,essential,ESCO,
OCC_a0cecf937326,SKL_3a770021928a,essential,ESCO,
OCC_a0cecf937326,SKL_c5114bc54f61,essential,ESCO,
OCC_a0cecf937326,SKL_d67dfc4ee39e,essential,ESCO,
OCC_a0cecf937326,SKL_7fcbb1e10b41,essential,ESCO,
OCC_a0cecf937326,SKL_9f1382e6691b,essential,ESCO,
OCC_a0cecf937326,SKL_53715a6035cb,essential,ESCO,
OCC_a0cecf937326,SKL_dbbc353ff629,essential,ESCO,
OCC_a0cecf937326,SKL_04e6c64d8bdd,essential,ESCO,
OCC_a0cecf937326,SKL_318b0a40b120,essential,ESCO,
OCC_a0cecf937326,SKL_04d28b46c58b,essential,ESCO,
OCC_a0cecf937326,SKL_b612c882be81,essential,ESCO,
OCC_a0cecf937326,SKL_5b3a519408f1,essential,ESCO,
OCC_a0cecf937326,SKL_0639d47eb735,essential,ESCO,
OCC_a0cecf937326,SKL_65a88136df69,essential,ESCO,
OCC_a0cecf937326,SKL_89abbdc9344e,essential,ESCO,
OCC_a0cecf937326,SKL_f14939dc09c4,optional,ESCO,
OCC_a0cecf937326,SKL_2160823e5269,optional,ESCO,
OCC_a0cecf937326,SKL_fa6cd7a6ceb9,optional,ESCO,
OCC_a0cecf937326,SKL_0e0ddaf5873f,optional,ESCO,
OCC_a0cecf937326,SKL_f8cdff52e6ee,optional,ESCO,
OCC_a0cecf937326,SKL_2dbc3a7582b5,optional,ESCO,
OCC_a0cecf937326,SKL_bbc55bdf9279,optional,ESCO,
OCC_a0cecf937326,SKL_74a5a5844b4c,optional,ESCO,
OCC_a0cecf937326,SKL_df8fb6fe7b07,optional,ESCO,
OCC_a0cecf937326,SKL_d0bf41708bae,optional,ESCO,
OCC_a0cecf937326,SKL_8c107549fe5b,optional,ESCO,
OCC_a0cecf937326,SKL_4d76ad90efb3,optional,ESCO,
OCC_a0cecf937326,SKL_d00c0cbdf6af,optional,ESCO,
OCC_a0cecf937326,SKL_1a9765b43218,optional,ESCO,
OCC_a0cecf937326,SKL_929f2bc40d7c,optional,ESCO,
OCC_a0cecf937326,SKL_109edeaf36eb,optional,ESCO,
OCC_a0cecf937326,SKL_e4518a5681c9,optional,ESCO,
OCC_a0cecf937326,SKL_c9ce5d8cbc63,optional,ESCO,
OCC_a0cecf937326,SKL_e0b7c20ad2a2,optional,ESCO,
OCC_a0cecf937326,SKL_b987f0547d15,optional,ESCO,
OCC_a0cecf937326,SKL_9b29beea7c1b,optional,ESCO,
OCC_a0cecf937326,SKL_b66a815da958,optional,ESCO,
OCC_a0cecf937326,SKL_e2dbc508cb21,optional,ESCO,
OCC_a0cecf937326,SKL_53ceaa2295af,optional,ESCO,
OCC_a0cecf937326,SKL_873cfe48c2ce,optional,ESCO,
OCC_a0cecf937326,SKL_096204475b7f,optional,ESCO,
OCC_a0cecf937326,SKL_c0af7cdae97f,optional,ESCO,
OCC_a0cecf937326,SKL_b1c2a4bc445a,optional,ESCO,
OCC_a0cecf937326,SKL_dc718588b284,optional,ESCO,
OCC_a0cecf937326,SKL_b1d3c0bd074a,optional,ESCO,
OCC_a0cecf937326,SKL_5dcc8e458213,optional,ESCO,
OCC_a0cecf937326,SKL_f1c997d8743f,optional,ESCO,
OCC_a0cecf937326,SKL_26bcb7a7c221,optional,ESCO,
OCC_a0cecf937326,SKL_b89955b20777,optional,ESCO,
OCC_6b1c7257ba1b,SKL_ed1c943a2742,essential,ESCO,
OCC_6b1c7257ba1b,SKL_dedf1948afc3,essential,ESCO,
OCC_6b1c7257ba1b,SKL_6b32ff1ba138,essential,ESCO,
OCC_6b1c7257ba1b,SKL_9c97e63afd1a,essential,ESCO,
OCC_6b1c7257ba1b,SKL_aea3e91c5092,essential,ESCO,
OCC_6b1c7257ba1b,SKL_431affbbd0fa,essential,ESCO,
OCC_6b1c7257ba1b,SKL_a06ae49b7664,essential,ESCO,
OCC_6b1c7257ba1b,SKL_d59c1c655f17,essential,ESCO,
OCC_6b1c7257ba1b,SKL_22320b92666f,essential,ESCO,
OCC_6b1c7257ba1b,SKL_a126050b0def,essential,ESCO,
OCC_6b1c7257ba1b,SKL_9530b497844a,essential,ESCO,
OCC_6b1c7257ba1b,SKL_87e726dfb63f,essential,ESCO,
OCC_6b1c7257ba1b,SKL_1f6b52c0fcf7,essential,ESCO,
OCC_6b1c7257ba1b,SKL_4d8fe5bd3afb,essential,ESCO,
OCC_6b1c7257ba1b,SKL_9d13f5ec1fdf,essential,ESCO,
OCC_6b1c7257ba1b,SKL_8a9651b100b9,essential,ESCO,
OCC_6b1c7257ba1b,SKL_e6ca3be59c9b,essential,ESCO,
OCC_6b1c7257ba1b,SKL_e70d9ea221e7,essential,ESCO,
OCC_6b1c7257ba1b,SKL_1ce625596796,essential,ESCO,
OCC_6b1c7257ba1b,SKL_3e8275119d50,optional,ESCO,
OCC_6b1c7257ba1b,SKL_c4640fe55575,optional,ESCO,
OCC_6b1c7257ba1b,SKL_e22e3873e2aa,optional,ESCO,
OCC_6b1c7257ba1b,SKL_ad5527904d9f,optional,ESCO,
OCC_6b1c7257ba1b,SKL_6df9c3907c46,optional,ESCO,
OCC_6b1c7257ba1b,SKL_9b5584008e66,optional,ESCO,
